MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-12-19,395.53,719.59,1229.6,1371.5,236.2,123.05
2018-12-20,508.34,705.63,1358.6,1409.7,281.75,132.75
2018-12-21,525.11,625.76,1284.31,1503.5,394.95,191.5
2018-12-22,702.3,918.64,1868.95,1316.6,351.22,219.45
2018-12-23,485.18,733.09,1313.76,1135.1,199.42,126.1
2018-12-24,1264.94,1177.81,3046.45,395.5,583.45,451.25
2018-12-25,1011.87,940.5,2409.61,289.2,471.57,439.85
2018-12-26,379.11,777.85,1203.4,467.0,417.78,342.25
2018-12-27,2139.43,1220.97,4579.77,52.4,930.68,827.15
2018-12-28,1558.59,1279.24,3580.74,128.4,694.48,572.25
2018-12-29,809.14,1001.91,2086.96,833.6,387.78,276.55
2018-12-30,746.01,944.04,1906.94,782.8,321.24,264.3
2018-12-31,638.21,842.17,1638.81,1265.1,286.05,197.8
2019-01-01,463.52,724.99,1230.35,1304.9,315.75,162.05
2019-01-02,567.52,875.32,1519.22,1254.5,426.62,201.4
2019-01-03,803.46,1204.92,2230.21,1001.7,456.83,252.3
2019-01-04,1330.43,1441.86,3294.68,351.2,768.35,628.3
2019-01-05,640.25,1031.69,1789.26,828.8,631.93,489.3
2019-01-06,892.48,1310.73,2461.3,500.1,629.77,462.65
2019-01-07,749.42,982.89,1957.1,972.1,428.17,251.3
2019-01-08,596.06,894.37,1579.67,1171.9,435.65,206.7
2019-01-09,587.49,895.64,1559.07,1008.4,370.43,188.05
2019-01-10,1939.18,1503.99,4385.21,207.0,856.8,651.4
2019-01-11,1139.91,1310.7,2840.77,402.9,586.8,407.05
2019-01-12,737.55,964.69,1920.5,1065.5,268.33,181.45
2019-01-13,470.57,631.53,1153.72,1433.2,242.48,155.7
2019-01-14,789.92,1041.53,2035.6,1118.4,376.05,212.85
2019-01-15,891.99,1040.98,2252.76,1079.7,262.42,194.2
2019-01-16,561.32,746.74,1452.82,1246.9,217.92,180.6
2019-01-17,854.11,1146.94,2239.95,870.1,418.28,253.75
2019-01-18,835.11,1125.56,2292.64,729.4,447.42,318.0
2019-01-19,556.8,874.58,1573.61,967.5,544.88,371.75
2019-01-20,1146.69,1244.28,2872.66,343.2,846.1,699.4
2019-01-21,1893.02,1247.71,4194.82,374.0,928.92,824.69
2019-01-22,1088.49,1377.68,2838.84,924.8,370.1,489.21
2019-01-23,1059.61,1264.36,2602.25,784.6,510.65,495.57
2019-01-24,2308.94,1794.27,5243.76,94.5,769.72,566.09
2019-01-25,1610.76,1428.23,3900.75,299.4,560.57,402.0
2019-01-26,395.96,599.97,1282.76,1517.0,234.08,219.72
2019-01-27,232.53,479.25,868.21,1538.0,291.75,172.08
2019-01-28,753.77,1117.94,2283.12,959.8,441.1,224.4
2019-01-29,496.58,1152.72,2008.04,936.3,343.2,216.05
2019-01-30,1518.28,1530.03,3870.9,587.2,497.12,248.01
2019-01-31,1666.98,1271.88,3706.34,620.3,623.45,343.0
2019-02-01,492.42,977.07,1733.2,919.2,426.95,297.4
2019-02-02,344.13,694.4,1225.51,1099.4,464.1,297.6
2019-02-03,568.43,992.6,1929.09,909.9,425.63,251.39
2019-02-04,439.24,765.74,1521.98,1058.0,270.35,167.48
